tweet_id,favorite_count,retweet_count
876484053909872640,17286,2097
886366144734445568,19361,2793
877611172832227328,0,71
888078434458587136,19964,3063
891689557279858688,38583,7624
879492040517615616,21553,2805
878604707211726852,27582,6255
879674319642796034,291,10
884876753390489601,25488,4929
882992080364220416,21907,3422
876120275196170240,25769,4131
889880896479866881,25607,4397
885518971528720385,18783,3294
879862464715927552,20531,3080
877556246731214848,20864,3376
890971913173991426,10802,1779
890006608113172480,28144,6474
873580283840344065,22335,3507
880935762899988482,15693,2471
891815181378084864,22987,3660
877201837425926144,24904,4927
886267009285017600,110,4
873337748698140672,0,1406
875747767867523072,23101,3789
889278841981685760,23083,4698
879415818425184262,96973,39507
882268110199369728,41078,10246
880465832366813184,26097,5497
887101392804085760,28096,5265
884162670584377345,18715,2643
879376492567855104,15467,2774
874057562936811520,20957,3544
875144289856114688,20203,4363
885528943205470208,32933,5646
878776093423087618,17788,3627
880872448815771648,19535,3381
885984800019947520,29869,5933
874434818259525634,0,12907
881633300179243008,116,7
883482846933004288,41990,8724
884562892145688576,22282,4146
889665388333682689,43964,8833
874680097055178752,25634,4120
887473957103951883,62890,15872
892177421306343426,30538,5534
884441805382717440,24865,5035
873213775632977920,6603,1406
890240255349198849,29192,6461
881268444196462592,21363,4692
891087950875897856,18597,2752
879130579576475649,0,6028
886680336477933568,20622,3951
878281511006478336,7097,1127
878404777348136964,0,1127
886054160059072513,0,96
888917238123831296,26688,3960
890729181411237888,59468,16664
881536004380872706,45338,14155
872967104147763200,25120,4823
887343217045368832,30869,9304
885311592912609280,0,16327
877316821321428993,25226,4619
885167619883638784,20052,3859
889638837579907072,24729,3950
876838120628539392,19031,2952
879050749262655488,20692,4157
892420643555336193,35291,7452
886983233522544640,31867,6744
876537666061221889,21850,4171
877736472329191424,72642,16767
874296783580663808,23998,3671
874012996292530176,31460,9080
888804989199671297,23422,3733
890609185150312448,25589,3805
887705289381826560,27753,4769
875097192612077568,25282,5412
875021211251597312,23498,4189
886258384151887873,25636,5584
878057613040115712,38689,6028
880095782870896641,25343,3856
887517139158093824,42502,10392
883117836046086144,33975,5859
884925521741709313,70481,15941
882045870035918850,26865,4297
883360690899218434,20789,3253
878316110768087041,0,5880
880221127280381952,24713,3676
883838122936631299,20033,3018
879008229531029506,17469,2368
882762694511734784,25892,4312
888554962724278272,18066,3054
882627270321602560,25688,5359
881666595344535552,46427,9437
884247878851493888,66393,17921
881906580714921986,22344,3010
886736880519319552,10951,2807
891327558926688256,36868,8218
889531135344209921,13914,1992
858860390427611136,0,7488
868639477480148993,0,1861
858471635011153920,20318,4496
870374049280663552,76960,23911
856330835276025856,0,621
855860136149123072,4642,906
864197398364647424,27949,8024
868880397819494401,60582,12983
867051520902168576,29935,7133
855851453814013952,43531,16890
872620804844003328,19129,3243
862457590147678208,19091,4490
866450705531457537,113682,31971
866094527597207552,0,7601
858843525470990336,14715,3204
860924035999428608,0,725
866720684873056260,18611,4343
863427515083354112,2052,85
863553081350529029,14248,3820
863907417377173506,19260,3778
854482394044301312,27817,6403
869227993411051520,18954,3389
859196978902773760,84420,27762
864279568663928832,13628,2731
869772420881756160,39507,9138
860184849394610176,15655,5387
854732716440526848,21652,5680
859074603037188101,31790,12596
864873206498414592,30086,7902
858107933456039936,14864,2671
862096992088072192,69306,21154
856288084350160898,488,15
857393404942143489,5566,1524
863471782782697472,0,2208
863432100342583297,22206,4778
860563773140209665,7024,1962
870656317836468226,11397,2339
870308999962521604,20325,3734
863079547188785154,8208,1013
870063196459192321,33826,7472
855818117272018944,25349,5079
865718153858494464,23956,5113
871762521631449091,18681,3121
861383897657036800,33780,9799
871102520638267392,19345,4935
870804317367881728,31147,5548
871166179821445120,0,5112
857263160327368704,18982,4201
860981674716409858,0,1962
859851578198683649,14528,3244
869702957897576449,26155,5661
867774946302451713,31591,6623
857989990357356544,15168,2390
856526610513747968,11244,1752
863062471531167744,7888,2208
855138241867124737,0,40
856543823941562368,15506,2681
871032628920680449,21044,3411
866686824827068416,17890,3138
855857698524602368,11277,1966
871879754684805121,34647,9767
855459453768019968,28310,7688
857029823797047296,17822,3689
869596645499047938,14803,2795
872820683541237760,13602,3321
865006731092295680,26149,7029
862831371563274240,17939,4702
871515927908634625,18666,3115
859607811541651456,17544,1424
856282028240666624,26300,5851
868552278524837888,9347,1861
855862651834028034,316,22
861005113778896900,15650,3499
866334964761202691,48688,12907
854120357044912130,30495,6987
862722525377298433,16014,3239
857746408056729600,32296,9854
857062103051644929,0,154
872486979161796608,37628,8105
861288531465048066,16085,3796
860276583193509888,17280,3237
860524505164394496,22194,4856
868622495443632128,24707,4762
859924526012018688,18444,3784
855245323840757760,0,5554
857214891891077121,212,17
867900495410671616,22521,3777
865359393868664832,24654,4543
870726314365509632,112,3
860177593139703809,0,28414
867421006826221569,14954,2254
872122724285648897,31601,7246
854365224396361728,18007,4398
867072653475098625,0,108
852672615818899456,14286,2042
840632337062862849,8766,1696
852553447878664193,15576,3278
838561493054533637,10725,1286
849051919805034497,40792,8045
842115215311396866,13593,2903
843856843873095681,20840,4420
847971574464610304,0,419
844223788422217728,13272,2091
845812042753855489,28294,8310
842846295480000512,14881,3492
850753642995093505,29547,8601
840370681858686976,16028,4393
